School ID,State,Geographic School District,Children 5-17 (SAIPE Estimate),% Poverty (SAIPE Estimate),% Single Parent Estimate,Single Parent Margin of Error,% HHs With Vulnerable Job Estimate,Vulnerable Job Margin of Error,% Crowded Conditions Estimate,HH With Crowded Conditions Margin of Error,% No Computer or Internet Estimate,No Computer or Internet Margin of Error,% Children with Disability,Children with Disability Margin of Error,% Linguistically Isolated Children,Linguistically Isolated Children Margin of Error
14010,Texas,Christoval Independent School District,348,9%,15%,0%-33%,24%,17%-30%,5%,0%-10%,6%,0%-12%,2%,0%-7%,0%,0%-7%
14070,Texas,Cisco Independent School District,640,25%,14%,0%-32%,29%,22%-36%,1%,0%-2%,20%,2%-37%,5%,0%-16%,0%,0%-4%
14130,Texas,City View Independent School District,1161,21%,30%,21%-39%,30%,23%-37%,1%,0%-3%,22%,9%-35%,5%,0%-9%,0%,0%-2%
14160,Texas,Clarendon Independent School District,495,29%,46%,32%-60%,23%,18%-29%,3%,0%-5%,31%,19%-42%,2%,1%-4%,0%,0%-5%
14190,Texas,Clarksville Independent School District,741,33%,58%,32%-83%,23%,16%-30%,1%,0%-3%,25%,9%-41%,14%,1%-26%,0%,0%-5%
14250,Texas,Claude Independent School District,269,14%,21%,8%-33%,18%,13%-23%,3%,0%-8%,30%,15%-46%,10%,2%-17%,0%,0%-10%
14280,Texas,Clear Creek Independent School District,"42,681",10%,24%,22%-27%,27%,26%-29%,3%,2%-3%,8%,6%-11%,5%,4%-6%,2%,2%-3%
14310,Texas,Cleburne Independent School District,7351,18%,36%,28%-44%,36%,32%-39%,3%,2%-5%,13%,9%-17%,3%,1%-4%,4%,1%-7%
14370,Texas,Cleveland Independent School District,5337,29%,37%,27%-47%,33%,28%-39%,7%,5%-10%,14%,8%-21%,6%,3%-9%,5%,1%-9%
14400,Texas,Clifton Independent School District,957,24%,26%,16%-35%,23%,17%-28%,2%,1%-4%,18%,8%-28%,6%,3%-10%,2%,0%-7%
14430,Texas,Clint Independent School District,"10,128",34%,34%,27%-40%,27%,24%-30%,8%,7%-10%,20%,16%-24%,8%,5%-11%,19%,14%-23%
14450,Texas,Clyde Consolidated Independent School District,1393,18%,25%,16%-35%,27%,22%-32%,2%,0%-4%,17%,10%-25%,11%,5%-17%,0%,0%-3%
14490,Texas,Coahoma Independent School District,398,18%,42%,23%-61%,17%,12%-21%,1%,0%-4%,20%,8%-31%,3%,0%-6%,1%,0%-7%
14520,Texas,Coldspring-Oakhurst Consolidated Independent School District,1976,28%,19%,10%-29%,25%,19%-30%,4%,2%-6%,30%,18%-42%,3%,0%-7%,0%,0%-2%
14550,Texas,Coleman Independent School District,873,27%,21%,9%-33%,23%,16%-31%,1%,0%-3%,20%,10%-29%,3%,0%-6%,0%,0%-4%
14580,Texas,Collinsville Independent School District,663,11%,31%,19%-43%,33%,26%-39%,3%,0%-7%,13%,3%-22%,10%,0%-20%,6%,0%-15%
14600,Texas,Colmesneil Independent School District,448,20%,11%,5%-18%,20%,12%-27%,3%,0%-7%,16%,6%-25%,9%,2%-16%,0%,0%-6%
14640,Texas,Colorado Independent School District,879,25%,32%,11%-54%,20%,12%-27%,7%,1%-13%,7%,0%-14%,11%,3%-19%,0%,0%-4%
14670,Texas,Columbia-Brazoria Independent School District,3583,13%,24%,16%-33%,26%,22%-30%,5%,3%-7%,9%,5%-13%,2%,1%-4%,3%,0%-6%
14700,Texas,Columbus Independent School District,1375,19%,43%,27%-58%,28%,22%-34%,8%,3%-12%,32%,14%-51%,3%,1%-6%,0%,0%-3%
14730,Texas,Comal Independent School District,"22,617",8%,21%,18%-25%,29%,27%-30%,2%,2%-3%,6%,5%-8%,4%,3%-6%,2%,1%-3%
14760,Texas,Comanche Independent School District,1362,24%,21%,10%-32%,27%,21%-33%,5%,1%-8%,30%,16%-45%,7%,3%-10%,0%,0%-3%
14790,Texas,Comfort Independent School District,1010,17%,22%,4%-39%,29%,23%-35%,3%,0%-7%,27%,10%-43%,13%,4%-22%,9%,0%-23%
14820,Texas,Commerce Independent School District,1626,23%,33%,18%-48%,37%,32%-41%,4%,2%-6%,26%,15%-38%,2%,0%-3%,3%,0%-7%
14850,Texas,Community Independent School District,1782,9%,13%,8%-17%,31%,27%-35%,3%,1%-5%,8%,5%-11%,3%,1%-6%,0%,0%-2%
14880,Texas,Como-Pickton Consolidated Independent School District,679,20%,8%,2%-14%,29%,20%-38%,12%,6%-17%,7%,2%-12%,4%,0%-8%,19%,1%-36%
14920,Texas,Comstock Independent School District,41,19%,20%,0%-43%,16%,0%-42%,0%,0%-14%,0%,0%-39%,0%,0%-45%,0%,0%-63%
14970,Texas,Connally Independent School District,3057,29%,45%,37%-54%,34%,30%-39%,3%,1%-5%,23%,14%-32%,10%,3%-16%,4%,0%-9%
15000,Texas,Conroe Independent School District,"63,780",10%,24%,22%-27%,28%,27%-29%,3%,3%-4%,7%,6%-8%,4%,4%-5%,4%,3%-5%
15120,Texas,Coolidge Independent School District,245,35%,29%,13%-45%,25%,16%-33%,4%,0%-11%,46%,21%-71%,28%,12%-44%,23%,6%-39%
15150,Texas,Cooper Independent School District,898,25%,27%,14%-39%,27%,21%-33%,2%,0%-4%,30%,20%-39%,4%,0%-8%,0%,0%-3%
15180,Texas,Lubbock-Cooper Independent School District,6442,10%,20%,14%-25%,30%,27%-33%,1%,1%-2%,7%,3%-12%,7%,5%-9%,0%,0%-1%
15210,Texas,Coppell Independent School District,"12,201",4%,16%,12%-20%,21%,19%-22%,2%,2%-3%,3%,2%-5%,2%,1%-3%,2%,1%-3%
15240,Texas,Copperas Cove Independent School District,7289,19%,31%,26%-36%,26%,24%-29%,2%,1%-3%,6%,3%-8%,8%,6%-11%,2%,0%-3%
15270,Texas,Corpus Christi Independent School District,"43,256",20%,38%,36%-41%,32%,30%-33%,5%,5%-6%,12%,10%-14%,5%,4%-6%,1%,1%-2%
15300,Texas,Corrigan-Camden Independent School District,1051,29%,53%,43%-62%,21%,17%-26%,6%,2%-9%,25%,14%-35%,5%,0%-10%,5%,0%-11%
15330,Texas,Corsicana Independent School District,5739,25%,36%,28%-44%,27%,24%-30%,5%,3%-6%,25%,17%-33%,7%,4%-10%,12%,7%-18%
15360,Texas,Cotton Center Independent School District,121,25%,24%,6%-42%,11%,0%-32%,5%,0%-31%,4%,0%-18%,4%,0%-9%,0%,0%-21%
