School ID,State,Geographic School District,Children 5-17 (SAIPE Estimate),% Poverty (SAIPE Estimate),% Single Parent Estimate,Single Parent Margin of Error,% HHs With Vulnerable Job Estimate,Vulnerable Job Margin of Error,% Crowded Conditions Estimate,HH With Crowded Conditions Margin of Error,% No Computer or Internet Estimate,No Computer or Internet Margin of Error,% Children with Disability,Children with Disability Margin of Error,% Linguistically Isolated Children,Linguistically Isolated Children Margin of Error
11850,Missouri,Fairview R-XI School District,597,19%,21%,7%-35%,21%,16%-26%,0%,0%-2%,7%,0%-15%,23%,14%-33%,0%,0%-4%
11910,Missouri,Farmington R-VII School District,4592,18%,33%,24%-42%,24%,21%-28%,1%,0%-2%,12%,5%-19%,6%,4%-9%,0%,0%-1%
11940,Missouri,Mid-Buchanan County R-V School District,656,13%,28%,15%-40%,27%,22%-32%,2%,0%-4%,3%,0%-7%,5%,0%-12%,0%,0%-3%
11990,Missouri,Fayette R-III School District,643,18%,46%,33%-58%,27%,22%-31%,3%,1%-5%,16%,8%-25%,5%,1%-9%,0%,0%-3%
12010,Missouri,Ferguson-Florissant R-II School District,"12,712",27%,53%,47%-58%,28%,26%-30%,1%,1%-2%,14%,11%-18%,6%,4%-8%,0%,0%-1%
12030,Missouri,Festus R-VI School District,2886,9%,28%,20%-35%,26%,23%-30%,1%,0%-2%,12%,6%-18%,8%,3%-12%,0%,0%-1%
12180,Missouri,Fordland R-III School District,900,28%,15%,10%-20%,25%,21%-29%,5%,1%-9%,45%,15%-74%,3%,1%-5%,0%,0%-2%
12240,Missouri,Forsyth R-III School District,1163,23%,33%,17%-49%,33%,30%-37%,2%,0%-3%,9%,2%-17%,4%,1%-7%,0%,0%-3%
12290,Missouri,Fort Osage R-I School District,5509,14%,44%,37%-51%,28%,26%-31%,1%,0%-2%,16%,11%-21%,5%,4%-7%,0%,0%-1%
12300,Missouri,Fox C-6 School District,"12,458",8%,27%,23%-31%,30%,28%-32%,2%,1%-3%,4%,3%-6%,8%,5%-10%,0%,0%-1%
12450,Missouri,Spring Bluff R-XV School District,342,4%,5%,1%-10%,17%,14%-20%,0%,0%-4%,4%,0%-11%,0%,0%-5%,0%,0%-6%
12480,Missouri,Strain-Japan R-XVI School District,156,11%,11%,3%-18%,21%,15%-28%,0%,0%-7%,5%,0%-11%,6%,0%-12%,0%,0%-14%
12510,Missouri,Franklin County R-II School District,172,9%,32%,13%-51%,13%,9%-18%,1%,0%-5%,10%,0%-21%,2%,0%-9%,0%,0%-13%
12540,Missouri,Fredericktown R-I School District,1826,18%,15%,6%-24%,24%,19%-29%,3%,1%-5%,17%,9%-26%,7%,1%-13%,0%,0%-2%
12550,Missouri,Fulton 58 School District,2599,16%,32%,22%-42%,27%,23%-32%,0%,0%-1%,24%,16%-33%,6%,1%-10%,0%,0%-1%
12600,Missouri,Gainesville R-V School District,601,33%,30%,11%-48%,22%,15%-30%,2%,0%-4%,23%,10%-35%,1%,0%-3%,0%,0%-4%
12630,Missouri,Galena R-II School District,608,25%,22%,5%-38%,42%,34%-50%,3%,0%-7%,12%,3%-21%,5%,0%-12%,0%,0%-4%
12660,Missouri,Gallatin R-V School District,572,18%,19%,11%-27%,21%,16%-26%,1%,0%-3%,11%,5%-16%,6%,2%-10%,0%,0%-4%
12690,Missouri,Grundy County R-V School District,72,27%,23%,8%-38%,17%,10%-23%,3%,0%-9%,46%,7%-86%,0%,0%-22%,0%,0%-31%
12720,Missouri,Gasconade C-4 School District,141,26%,1%,0%-4%,27%,20%-34%,1%,0%-7%,61%,31%-92%,2%,0%-11%,0%,0%-16%
12780,Missouri,Gideon 37 School District,276,20%,37%,25%-49%,13%,8%-19%,4%,0%-8%,25%,13%-38%,9%,4%-15%,0%,0%-8%
12840,Missouri,Gilliam C-4 School District,42,22%,13%,0%-33%,19%,5%-34%,1%,0%-18%,4%,0%-35%,2%,0%-30%,0%,0%-52%
12870,Missouri,Gilman City R-IV School District,147,22%,47%,26%-68%,21%,15%-28%,4%,0%-10%,15%,3%-26%,3%,0%-11%,0%,0%-15%
12900,Missouri,Glasgow School District,430,13%,31%,16%-46%,21%,16%-26%,0%,0%-4%,10%,2%-18%,3%,1%-5%,0%,0%-5%
12930,Missouri,Golden City R-III School District,272,23%,52%,31%-73%,20%,15%-25%,2%,0%-5%,39%,21%-57%,7%,1%-14%,1%,0%-9%
13080,Missouri,Grain Valley R-V School District,4120,7%,22%,16%-29%,27%,23%-32%,0%,0%-1%,6%,3%-8%,4%,1%-6%,0%,0%-1%
13140,Missouri,Grandview C-4 School District,5469,18%,49%,42%-57%,30%,28%-33%,2%,1%-3%,13%,8%-17%,9%,6%-12%,2%,1%-4%
13170,Missouri,Grandview R-II School District,904,15%,62%,42%-81%,24%,17%-30%,1%,0%-2%,23%,6%-41%,9%,2%-17%,0%,0%-2%
13230,Missouri,Green City R-I School District,271,21%,20%,8%-31%,19%,12%-25%,0%,0%-5%,10%,1%-18%,9%,3%-15%,0%,0%-8%
13260,Missouri,Green Forest R-II School District,225,29%,29%,10%-48%,21%,17%-26%,4%,0%-9%,27%,14%-40%,3%,0%-9%,0%,0%-10%
13290,Missouri,Green Ridge R-VIII School District,362,15%,17%,7%-27%,23%,19%-28%,2%,0%-6%,6%,1%-11%,4%,1%-7%,0%,0%-6%
13320,Missouri,Greenfield R-IV School District,551,20%,36%,22%-50%,20%,14%-26%,4%,1%-7%,20%,5%-36%,1%,0%-3%,0%,0%-4%
13380,Missouri,Greenville R-II School District,653,33%,26%,12%-41%,23%,16%-30%,3%,0%-5%,17%,5%-29%,10%,5%-16%,0%,0%-5%
13440,Missouri,Pleasant View R-VI School District,58,14%,20%,0%-43%,20%,9%-30%,0%,0%-15%,5%,0%-27%,3%,0%-23%,0%,0%-38%
13500,Missouri,Hale R-I School District,190,21%,25%,11%-39%,21%,14%-28%,3%,0%-10%,10%,0%-21%,5%,0%-11%,0%,0%-12%
13530,Missouri,Halfway R-III School District,564,18%,13%,5%-22%,20%,15%-25%,10%,2%-17%,41%,31%-51%,1%,0%-4%,0%,0%-4%
13560,Missouri,Hallsville R-IV School District,1669,16%,38%,26%-50%,27%,22%-33%,1%,0%-2%,7%,2%-11%,6%,2%-10%,0%,0%-2%
13590,Missouri,Hamilton R-II School District,798,16%,24%,15%-33%,24%,19%-29%,5%,0%-9%,32%,13%-51%,3%,1%-6%,2%,0%-5%
13620,Missouri,Hancock Place School District,1291,27%,39%,25%-54%,35%,29%-42%,2%,0%-4%,7%,2%-13%,14%,5%-24%,4%,0%-10%
13650,Missouri,Hannibal 60 School District,4132,19%,36%,29%-43%,30%,27%-33%,2%,1%-3%,12%,8%-16%,7%,5%-9%,0%,0%-1%
13680,Missouri,Hardin-Central C-2 School District,271,11%,22%,3%-40%,19%,12%-25%,3%,0%-7%,12%,2%-22%,6%,0%-11%,3%,0%-11%
13710,Missouri,Harrisburg R-VIII School District,496,8%,15%,6%-23%,26%,21%-31%,1%,0%-3%,20%,9%-32%,1%,0%-2%,0%,0%-4%
13760,Missouri,Harrisonville R-IX School District,2406,11%,21%,12%-30%,30%,26%-35%,4%,2%-7%,25%,13%-38%,11%,6%-17%,0%,0%-1%
13770,Missouri,Hartville R-II School District,764,44%,38%,20%-56%,27%,19%-35%,8%,3%-13%,38%,23%-53%,6%,2%-10%,0%,0%-3%
13800,Missouri,Hayti R-II School District,850,47%,70%,56%-84%,22%,14%-30%,4%,1%-8%,14%,6%-23%,13%,7%-20%,0%,0%-3%
13830,Missouri,Hazelwood School District,"20,465",23%,49%,45%-53%,27%,25%-28%,1%,1%-2%,10%,7%-13%,7%,5%-9%,0%,0%-1%
14250,Missouri,Dunklin R-V School District,1908,12%,29%,20%-38%,32%,25%-38%,2%,0%-5%,0%,0%-2%,9%,4%-14%,0%,0%-2%
14280,Missouri,Gasconade County R-I School District,1355,15%,37%,21%-52%,24%,21%-28%,2%,0%-4%,15%,8%-21%,10%,5%-16%,0%,0%-2%
14310,Missouri,Hermitage R-IV School District,231,47%,39%,12%-66%,31%,23%-40%,0%,0%-2%,27%,9%-44%,10%,0%-24%,0%,0%-10%
14320,Missouri,Hickory County R-I School District,828,24%,22%,12%-32%,33%,28%-39%,2%,0%-4%,43%,23%-63%,9%,3%-15%,1%,0%-5%
14340,Missouri,Hickman Mills C-1 School District,8831,26%,66%,60%-72%,29%,26%-31%,2%,1%-3%,33%,27%-40%,5%,4%-7%,2%,0%-4%
14370,Missouri,Higbee R-VIII School District,219,23%,19%,7%-30%,17%,11%-23%,0%,0%-5%,16%,5%-27%,6%,0%-16%,0%,0%-10%
14400,Missouri,Lafayette County C-1 School District,1339,15%,46%,30%-61%,24%,18%-30%,3%,1%-6%,18%,7%-28%,6%,1%-10%,0%,0%-2%
14430,Missouri,Hillsboro R-III School District,3310,8%,25%,18%-31%,26%,22%-29%,0%,0%-1%,11%,7%-16%,6%,3%-8%,0%,0%-1%
14460,Missouri,Holcomb R-III School District,603,31%,39%,27%-51%,17%,11%-23%,1%,0%-4%,5%,0%-9%,15%,3%-26%,2%,0%-6%
14490,Missouri,Holden R-III School District,1196,12%,32%,20%-45%,23%,18%-27%,5%,2%-8%,14%,7%-21%,5%,2%-7%,0%,0%-3%
14520,Missouri,Holliday C-2 School District,74,11%,23%,8%-38%,16%,4%-27%,1%,0%-14%,5%,0%-23%,5%,0%-22%,0%,0%-30%
14550,Missouri,Hollister R-V School District,1206,25%,19%,7%-30%,56%,49%-63%,3%,0%-6%,10%,1%-19%,3%,0%-6%,0%,0%-3%
14840,Missouri,Houston R-I School District,934,28%,48%,32%-64%,34%,25%-42%,3%,0%-5%,20%,10%-30%,4%,0%-8%,0%,0%-3%
15060,Missouri,Junction Hill C-12 School District,385,24%,29%,15%-43%,23%,18%-28%,0%,0%-3%,12%,2%-21%,3%,0%-6%,0%,0%-6%
15180,Missouri,Glenwood R-VIII School District,328,20%,26%,11%-40%,32%,24%-39%,2%,0%-6%,34%,13%-55%,2%,0%-7%,2%,0%-9%
15210,Missouri,Howell Valley R-I School District,398,22%,36%,17%-55%,26%,19%-34%,2%,0%-7%,13%,2%-23%,11%,1%-22%,0%,0%-6%
15240,Missouri,Hudson R-IX School District,107,23%,7%,0%-18%,22%,11%-34%,3%,0%-17%,16%,0%-34%,2%,0%-13%,0%,0%-21%
15270,Missouri,Pettis County R-V School District,334,15%,8%,0%-18%,20%,15%-25%,3%,0%-7%,18%,7%-28%,1%,0%-3%,2%,0%-8%
15300,Missouri,Humansville R-IV School District,484,35%,35%,20%-49%,20%,12%-28%,3%,0%-6%,24%,11%-37%,9%,1%-17%,0%,0%-5%
15330,Missouri,Hume R-VIII School District,144,16%,48%,19%-77%,26%,18%-33%,4%,0%-11%,12%,1%-23%,8%,0%-17%,0%,0%-15%
15390,Missouri,Hurley R-I School District,336,21%,22%,4%-40%,20%,17%-23%,1%,0%-5%,14%,6%-22%,1%,0%-5%,0%,0%-7%
15420,Missouri,Iberia R-V School District,696,19%,18%,12%-23%,21%,15%-27%,0%,0%-2%,27%,10%-43%,2%,0%-5%,0%,0%-3%
15450,Missouri,Scott City R-I School District,1075,28%,58%,41%-75%,29%,22%-35%,8%,4%-12%,10%,3%-17%,12%,4%-19%,0%,0%-2%
15480,Missouri,Independence 30 School District,"14,996",19%,44%,39%-49%,31%,29%-33%,2%,1%-3%,19%,15%-23%,7%,6%-9%,1%,0%-2%
15510,Missouri,Iron County C-4 School District,494,23%,17%,4%-29%,39%,32%-47%,7%,1%-13%,18%,5%-30%,4%,1%-8%,0%,0%-4%
15600,Missouri,Jackson R-II School District,5883,11%,26%,19%-34%,27%,24%-30%,1%,0%-2%,5%,3%-8%,8%,5%-11%,0%,0%-1%
15630,Missouri,North Daviess R-III School District,95,52%,49%,18%-80%,21%,13%-29%,3%,0%-11%,3%,0%-16%,9%,0%-19%,0%,0%-23%
15660,Missouri,Jamestown C-1 School District,301,9%,16%,8%-23%,25%,19%-30%,1%,0%-6%,19%,3%-35%,4%,0%-7%,0%,0%-7%
16140,Missouri,Jasper County R-V School District,608,20%,16%,9%-23%,28%,23%-33%,1%,0%-4%,30%,20%-40%,6%,2%-10%,3%,0%-8%
16190,Missouri,Jefferson City Public Schools,"11,548",13%,41%,36%-46%,25%,23%-27%,1%,1%-1%,24%,19%-28%,5%,3%-6%,0%,0%-0%
16200,Missouri,Jefferson C-123 School District,130,8%,9%,6%-12%,36%,14%-57%,2%,0%-11%,5%,0%-13%,0%,0%-12%,0%,0%-17%
16230,Missouri,Jefferson County R-VII School District,1093,8%,20%,7%-33%,28%,22%-34%,4%,0%-7%,10%,3%-18%,5%,1%-10%,0%,0%-3%
16290,Missouri,Jennings School District,3283,34%,64%,52%-77%,26%,22%-31%,2%,1%-4%,23%,12%-35%,7%,4%-11%,0%,0%-1%
16350,Missouri,Joplin School District,9228,22%,34%,29%-39%,35%,32%-38%,2%,1%-2%,15%,12%-18%,5%,3%-6%,1%,0%-2%
16380,Missouri,Clark County R-I School District,1134,22%,34%,25%-44%,23%,19%-26%,1%,0%-3%,25%,16%-34%,4%,2%-7%,0%,0%-3%
16400,Missouri,Kansas City 33 School District,"28,572",27%,57%,54%-61%,29%,28%-30%,2%,2%-2%,19%,16%-21%,6%,5%-7%,7%,5%-9%
16450,Missouri,Kearney R-I School District,3885,4%,26%,19%-33%,32%,27%-36%,2%,1%-3%,3%,0%-6%,3%,1%-5%,0%,0%-1%
16470,Missouri,Kelso C-7 School District,305,8%,2%,0%-6%,25%,19%-31%,0%,0%-3%,7%,0%-14%,2%,0%-6%,3%,0%-10%
16500,Missouri,Kennett 39 School District,1627,38%,42%,29%-56%,28%,23%-33%,2%,0%-3%,10%,4%-16%,10%,6%-15%,10%,2%-19%
16530,Missouri,Keytesville R-III School District,73,18%,39%,18%-60%,22%,14%-30%,1%,0%-7%,9%,0%-22%,0%,0%-21%,0%,0%-30%
16590,Missouri,King City R-I School District,321,19%,25%,14%-37%,27%,20%-33%,0%,0%-4%,13%,2%-23%,7%,2%-12%,1%,0%-7%
16620,Missouri,Kingston 42 School District,29,23%,13%,0%-28%,11%,0%-21%,1%,0%-17%,13%,0%-52%,0%,0%-54%,0%,0%-76%
16660,Missouri,Kingsville R-I School District,401,12%,21%,11%-30%,25%,21%-30%,1%,0%-4%,9%,4%-15%,5%,1%-8%,0%,0%-5%
16710,Missouri,Kirbyville R-VI School District,575,17%,33%,19%-48%,39%,34%-44%,4%,1%-7%,26%,11%-40%,10%,2%-18%,0%,0%-4%
16740,Missouri,Kirksville R-III School District,2651,17%,40%,32%-48%,27%,24%-31%,1%,0%-1%,11%,6%-15%,3%,0%-5%,0%,0%-2%
16770,Missouri,Kirkwood R-VII School District,7237,4%,19%,16%-23%,23%,21%-25%,0%,0%-1%,2%,1%-3%,4%,3%-6%,1%,0%-1%
16830,Missouri,Knob Noster R-VIII School District,1716,12%,31%,19%-43%,20%,16%-24%,1%,0%-2%,1%,0%-3%,6%,3%-9%,0%,0%-2%
16860,Missouri,Oregon-Howell R-III School District,201,27%,23%,6%-41%,26%,18%-33%,2%,0%-5%,23%,14%-32%,19%,6%-31%,0%,0%-11%
16920,Missouri,La Monte R-IV School District,327,14%,30%,15%-45%,23%,17%-29%,4%,0%-9%,34%,18%-50%,1%,0%-3%,8%,0%-16%
16950,Missouri,La Plata R-II School District,384,24%,37%,22%-51%,25%,19%-31%,1%,0%-3%,34%,22%-46%,1%,0%-4%,7%,0%-15%
17000,Missouri,Laclede County C-5 School District,676,21%,13%,0%-26%,30%,21%-39%,4%,1%-7%,41%,17%-64%,12%,2%-22%,0%,0%-3%
17820,Missouri,Ladue School District,5744,4%,14%,10%-17%,19%,17%-21%,1%,0%-1%,1%,0%-3%,2%,1%-3%,1%,0%-2%
17850,Missouri,Lamar R-I School District,1321,21%,44%,28%-60%,26%,20%-33%,2%,0%-4%,36%,22%-51%,8%,3%-13%,0%,0%-2%
17880,Missouri,Laquey R-V School District,469,18%,71%,38%-100%,47%,35%-60%,0%,0%-2%,24%,4%-44%,3%,0%-7%,0%,0%-5%
17910,Missouri,Laredo R-VII School District,72,23%,29%,8%-50%,10%,2%-17%,5%,0%-18%,4%,0%-21%,1%,0%-17%,0%,0%-31%
17970,Missouri,Lathrop R-II School District,1062,11%,25%,16%-34%,23%,18%-28%,3%,0%-5%,17%,6%-29%,13%,6%-21%,0%,0%-3%
18220,Missouri,Lawson R-XIV School District,1036,9%,42%,16%-68%,31%,25%-37%,2%,0%-4%,8%,1%-14%,2%,0%-3%,0%,0%-3%
18240,Missouri,West St. Francois County R-IV School District,870,23%,40%,24%-56%,27%,21%-34%,3%,1%-5%,24%,13%-36%,4%,1%-6%,0%,0%-3%
18270,Missouri,Lebanon R-III School District,4443,20%,19%,13%-25%,28%,25%-31%,4%,2%-5%,15%,10%-20%,10%,7%-14%,0%,0%-1%
18300,Missouri,Lee's Summit R-VII School District,"19,791",6%,24%,21%-27%,26%,24%-27%,1%,0%-1%,3%,2%-4%,3%,2%-4%,0%,0%-1%
18330,Missouri,Leesville R-IX School District,173,28%,5%,1%-8%,21%,13%-29%,3%,0%-9%,18%,2%-34%,1%,0%-8%,0%,0%-13%
18360,Missouri,Leeton R-X School District,320,15%,17%,5%-28%,20%,15%-26%,3%,0%-8%,16%,5%-28%,3%,0%-5%,0%,0%-7%
18420,Missouri,Leopold R-III School District,222,11%,5%,0%-10%,18%,12%-24%,1%,0%-8%,12%,4%-20%,4%,0%-10%,0%,0%-10%
18450,Missouri,Lesterville R-IV School District,58,24%,26%,1%-50%,24%,15%-33%,1%,0%-6%,15%,0%-42%,0%,0%-27%,0%,0%-38%
18460,Missouri,Lewis County C-1 School District,1134,18%,21%,15%-28%,22%,19%-26%,1%,0%-3%,10%,6%-14%,2%,0%-4%,0%,0%-3%
18480,Missouri,Lexington R-V School District,822,18%,56%,32%-79%,19%,11%-27%,0%,0%-2%,39%,20%-59%,3%,0%-7%,0%,0%-4%
18510,Missouri,Liberal R-II School District,495,14%,15%,9%-21%,23%,19%-28%,3%,1%-6%,29%,17%-40%,3%,0%-5%,0%,0%-4%
18540,Missouri,Liberty 53 School District,"13,454",4%,24%,20%-28%,26%,24%-28%,0%,0%-1%,4%,3%-6%,5%,3%-6%,0%,0%-1%
18600,Missouri,Licking R-VIII School District,791,35%,16%,9%-22%,26%,17%-34%,1%,0%-4%,48%,19%-77%,7%,2%-12%,0%,0%-4%
18670,Missouri,Lincoln R-II School District,456,28%,21%,11%-31%,28%,22%-34%,1%,0%-3%,11%,2%-20%,13%,5%-21%,0%,0%-5%
18690,Missouri,Lindbergh School District,7951,5%,25%,21%-28%,31%,28%-33%,0%,0%-1%,2%,1%-4%,6%,4%-8%,1%,0%-1%
19080,Missouri,Osage County R-II School District,874,10%,22%,13%-31%,22%,17%-26%,2%,0%-4%,24%,10%-38%,5%,2%-8%,0%,0%-3%
19140,Missouri,Lockwood R-I School District,418,25%,26%,14%-37%,26%,19%-34%,2%,0%-5%,34%,15%-52%,1%,0%-5%,0%,0%-5%
19170,Missouri,Logan-Rogersville R-VIII School District,2585,9%,13%,7%-18%,33%,29%-37%,1%,0%-2%,22%,13%-31%,3%,1%-5%,1%,0%-2%
19200,Missouri,Lonedell R-XIV School District,737,22%,48%,24%-73%,20%,13%-27%,2%,0%-5%,23%,11%-36%,18%,8%-27%,0%,0%-3%
19230,Missouri,Lone Jack C-6 School District,731,8%,28%,16%-40%,18%,15%-21%,2%,0%-4%,3%,0%-6%,7%,1%-13%,0%,0%-3%
19260,Missouri,Louisiana R-II School District,661,25%,59%,43%-75%,28%,21%-35%,2%,0%-4%,20%,12%-28%,10%,2%-18%,0%,0%-3%
19350,Missouri,Woodland R-IV School District,968,22%,42%,28%-56%,30%,24%-35%,2%,0%-4%,10%,4%-16%,8%,3%-13%,0%,0%-3%
19380,Missouri,Macks Creek R-V School District,409,19%,23%,1%-45%,41%,32%-50%,1%,0%-5%,43%,27%-60%,6%,2%-10%,0%,0%-5%
19410,Missouri,Macon County R-I School District,1500,18%,41%,28%-54%,27%,22%-32%,1%,0%-3%,12%,6%-18%,2%,0%-5%,2%,0%-4%
19840,Missouri,Madison C-3 School District,324,18%,35%,21%-49%,24%,19%-30%,1%,0%-5%,29%,15%-44%,10%,2%-17%,0%,0%-7%
19890,Missouri,Malden R-I School District,1244,39%,46%,31%-60%,30%,23%-37%,1%,0%-3%,19%,8%-30%,2%,0%-4%,0%,0%-2%
19920,Missouri,Malta Bend R-V School District,96,17%,56%,26%-86%,28%,17%-38%,0%,0%-14%,13%,0%-25%,14%,0%-28%,0%,0%-23%
19950,Missouri,Manes R-V School District,44,46%,18%,1%-35%,31%,14%-48%,0%,0%-12%,14%,0%-39%,14%,0%-27%,0%,0%-50%
19980,Missouri,Mansfield R-IV School District,738,38%,17%,11%-23%,21%,16%-27%,4%,1%-8%,32%,4%-61%,2%,0%-5%,0%,0%-3%
20010,Missouri,Maplewood-Richmond Heights School District,1598,11%,35%,24%-47%,30%,26%-33%,0%,0%-1%,5%,1%-8%,0%,0%-2%,0%,0%-2%
20050,Missouri,Marceline R-V School District,781,18%,27%,19%-35%,27%,21%-32%,3%,0%-5%,11%,4%-17%,5%,1%-9%,0%,0%-3%
20160,Missouri,Marion C. Early R-V School District,458,20%,15%,10%-21%,29%,24%-35%,3%,0%-7%,4%,1%-7%,1%,0%-2%,0%,0%-5%
20280,Missouri,Marion County R-II School District,274,15%,39%,10%-67%,18%,12%-23%,1%,0%-6%,18%,5%-31%,6%,0%-13%,0%,0%-8%
20310,Missouri,Marionville R-IX School District,628,25%,42%,17%-67%,22%,18%-26%,4%,1%-8%,19%,7%-32%,14%,3%-25%,4%,0%-11%
20340,Missouri,Mark Twain R-VIII School District,43,25%,52%,28%-75%,29%,15%-43%,0%,0%-11%,46%,17%-75%,12%,0%-25%,0%,0%-51%
20370,Missouri,Marquand-Zion R-VI School District,181,49%,21%,6%-36%,19%,11%-26%,3%,0%-7%,14%,4%-24%,10%,3%-18%,0%,0%-12%
20410,Missouri,Marshall School District,2569,17%,38%,32%-45%,25%,22%-29%,4%,2%-5%,11%,7%-15%,6%,3%-9%,11%,6%-16%
20430,Missouri,Marshfield R-I School District,3028,16%,28%,21%-35%,30%,26%-33%,3%,2%-5%,18%,11%-25%,9%,6%-13%,0%,0%-1%
20490,Missouri,Maryville R-II Schools,1460,11%,28%,18%-39%,39%,33%-44%,2%,0%-3%,13%,5%-20%,8%,3%-12%,2%,0%-5%
20550,Missouri,Maysville R-I School District,640,8%,17%,9%-25%,26%,19%-33%,1%,0%-4%,14%,5%-22%,7%,0%-16%,0%,0%-3%
20610,Missouri,McDonald County R-I School District,3678,25%,31%,25%-37%,31%,27%-35%,8%,6%-9%,56%,47%-64%,6%,4%-9%,6%,4%-9%
20640,Missouri,Meadville R-IV School District,207,18%,17%,8%-26%,23%,18%-27%,4%,0%-8%,23%,12%-35%,0%,0%-6%,0%,0%-11%
20670,Missouri,Mehlville R-IX School District,"12,823",8%,27%,23%-32%,31%,29%-32%,1%,0%-1%,4%,3%-5%,6%,4%-8%,2%,1%-3%
20700,Missouri,Scotland County R-I School District,1004,23%,18%,9%-27%,19%,15%-23%,4%,2%-6%,21%,12%-29%,2%,0%-4%,1%,0%-3%
20750,Missouri,North Mercer County R-III School District,204,18%,22%,10%-34%,22%,15%-30%,2%,0%-8%,29%,8%-51%,11%,4%-17%,0%,0%-11%
20810,Missouri,Mexico 59 School District,2748,22%,41%,31%-51%,26%,22%-30%,2%,0%-3%,17%,11%-23%,3%,1%-5%,3%,0%-7%
20820,Missouri,Miami R-I School District,273,12%,20%,0%-40%,27%,21%-32%,5%,0%-11%,12%,3%-22%,3%,0%-8%,0%,0%-8%
20840,Missouri,Miami R-I School District,47,21%,52%,23%-82%,7%,0%-20%,2%,0%-14%,22%,3%-41%,6%,0%-17%,0%,0%-47%
20880,Missouri,Middle Grove C-1 School District,167,43%,0%,0%-7%,20%,3%-38%,8%,0%-21%,82%,59%-100%,0%,0%-9%,18%,3%-33%
20940,Missouri,Milan C-2 School District,637,19%,27%,16%-38%,18%,14%-23%,5%,2%-9%,38%,18%-58%,0%,0%-2%,15%,4%-27%
21000,Missouri,Miller R-II School District,708,21%,27%,16%-38%,21%,16%-26%,5%,3%-8%,38%,20%-56%,12%,4%-20%,0%,0%-3%
21030,Missouri,Mirabile C-1 School District,52,14%,5%,0%-13%,27%,16%-38%,5%,0%-20%,6%,0%-29%,25%,5%-45%,0%,0%-42%
21060,Missouri,Missouri City 56 School District,59,3%,16%,0%-36%,35%,25%-45%,1%,0%-8%,18%,1%-36%,10%,0%-35%,0%,0%-37%
21100,Missouri,Moberly School District,2326,24%,41%,29%-53%,31%,26%-35%,1%,0%-2%,10%,5%-15%,6%,3%-8%,0%,0%-1%
21120,Missouri,Monett R-I School District,2727,24%,25%,16%-34%,27%,22%-33%,6%,3%-10%,15%,9%-22%,6%,2%-10%,0%,0%-1%
21150,Missouri,High Point R-III School District,188,19%,32%,13%-50%,22%,13%-30%,1%,0%-9%,58%,38%-79%,3%,0%-9%,2%,0%-12%
21180,Missouri,Moniteau County R-V School District,383,21%,4%,0%-8%,16%,11%-21%,7%,0%-16%,81%,67%-95%,3%,0%-6%,18%,8%-28%
21210,Missouri,Monroe City R-I School District,817,14%,28%,19%-36%,23%,18%-27%,0%,0%-2%,11%,5%-17%,3%,1%-5%,0%,0%-4%
21330,Missouri,Montgomery County R-II School District,1144,18%,40%,30%-50%,22%,19%-25%,2%,1%-3%,28%,21%-36%,7%,4%-10%,0%,0%-3%
21360,Missouri,Montrose R-XIV School District,135,17%,28%,0%-56%,24%,18%-30%,1%,0%-9%,14%,4%-25%,4%,0%-7%,0%,0%-16%
21420,Missouri,Scott County Central Schools,144,21%,50%,35%-65%,33%,25%-41%,2%,0%-5%,7%,0%-16%,6%,0%-15%,0%,0%-15%
21480,Missouri,Mound City R-II School District,203,17%,38%,22%-54%,29%,24%-35%,0%,0%-3%,22%,9%-34%,3%,0%-10%,0%,0%-11%
21510,Missouri,Mountain Grove R-III School District,1172,31%,40%,24%-57%,29%,23%-34%,2%,0%-3%,36%,17%-55%,12%,3%-21%,0%,0%-3%
21540,Missouri,Mountain View-Birch Tree R-III School District,1149,34%,43%,25%-61%,27%,22%-32%,1%,0%-3%,25%,14%-35%,13%,2%-23%,0%,0%-3%
21600,Missouri,Mount Vernon R-V School District,1548,19%,45%,28%-63%,19%,13%-24%,2%,0%-5%,24%,9%-40%,17%,6%-28%,0%,0%-2%
21660,Missouri,Northeast Nodaway County R-V School District,235,10%,20%,12%-29%,16%,11%-22%,4%,0%-10%,43%,29%-56%,3%,0%-8%,0%,0%-9%
21690,Missouri,North Nodaway County R-VI School District,186,13%,25%,15%-35%,25%,18%-33%,0%,0%-6%,19%,5%-33%,8%,1%-14%,0%,0%-12%
21720,Missouri,Naylor R-II School District,296,34%,32%,13%-51%,29%,20%-37%,3%,0%-7%,13%,4%-22%,14%,3%-25%,0%,0%-7%
21750,Missouri,Neelyville R-IV School District,588,25%,40%,17%-63%,25%,15%-35%,1%,0%-4%,6%,0%-14%,18%,5%-31%,0%,0%-4%
21810,Missouri,Neosho R-V School District,4612,23%,26%,21%-32%,26%,23%-30%,4%,2%-5%,31%,24%-37%,5%,3%-7%,3%,1%-6%
21840,Missouri,Nevada R-V School District,2522,19%,33%,25%-41%,24%,20%-28%,1%,0%-2%,10%,6%-15%,5%,2%-9%,0%,0%-1%
21875,Missouri,New Bloomfield R-III School District,711,13%,17%,4%-31%,23%,17%-30%,0%,0%-2%,9%,2%-15%,6%,1%-11%,0%,0%-3%
21880,Missouri,Macon County R-IV School District,110,23%,10%,3%-17%,23%,17%-29%,2%,0%-10%,47%,16%-78%,13%,3%-22%,0%,0%-20%
